Chain,Chain ID,Market,Market Type,Market Status,Asset,Borrowable,Collateral,Notes,Supply Rate,Supply Link,Borrow Rate,Borrow Link
Base,8453,YO yoBTC,EVK,Active,cbBTC,Yes,No,Borrowable only Asset status: Active. Active,0.00%,https://app.euler.finance/lend/0xe72eA97aAF905c5f10040f78887cc8dE8eAec7E4?network=8453,0.25%,https://app.euler.finance/borrow/0xFab9aF50F7A1Cfe201CAE1c15fCFdDaE7705ccD3/0xe72eA97aAF905c5f10040f78887cc8dE8eAec7E4?network=8453&tab=multiply
Base,8453,YO yoBTC,EVK,Active,yoBTC,No,Yes,Collateral only Asset status: Active. Active,0.00%,https://app.euler.finance/lend/0xFab9aF50F7A1Cfe201CAE1c15fCFdDaE7705ccD3?network=8453,,
Base,8453,YO yoUSD,EVK,Active,PT-yoUSD-26MAR2026,No,No,Listed asset; no live borrow/collateral role detected Asset status: Active. Active in the live product despite maturity date,0.00%,https://app.euler.finance/lend/0x24D633664Aea3F551B2Fa34fA66Dd1BA52a33933?network=8453,,
Base,8453,YO yoUSD,EVK,Active,USDC,Yes,No,Borrowable only Asset status: Active. Active,1.64%,https://app.euler.finance/lend/0x085178078796Da17B191f9081b5E2fCCc79A7eE7?network=8453,3.49%,https://app.euler.finance/borrow/0x990d616ca6E7192625d1B7C41Fb67b5758DF7CF2/0x085178078796Da17B191f9081b5E2fCCc79A7eE7?network=8453&tab=multiply
Base,8453,YO yoUSD,EVK,Active,yoUSD,No,Yes,Collateral only Asset status: Active. Active,0.00%,https://app.euler.finance/lend/0x990d616ca6E7192625d1B7C41Fb67b5758DF7CF2?network=8453,,
Ethereum,1,AlphaGrowth Earn USDC,EulerEarn,Active,USDC,No,No,Earn deposit asset; not an EVK borrowable/collateral role. Active and owned by the AlphaGrowth multisig; zero assets at snapshot,0.00%,https://app.euler.finance/earn/0xA5A84a76bA96Eb2816D967FA91533cC38064c47A?network=1,,
Ethereum,1,Cap,EVK,Active,cUSD,Yes,Yes,Borrowable and collateral Asset status: Active. Active,0.00%,https://app.euler.finance/lend/0x55F9bACE2C864aC0D3392Ea9fa654b605F21A3d3?network=1,2.63%,https://app.euler.finance/borrow/0x6Fe7Fa90756434645F0b0428fDff78E99Dda0FBc/0x55F9bACE2C864aC0D3392Ea9fa654b605F21A3d3?network=1&tab=multiply
Ethereum,1,Cap,EVK,Active,stcUSD,No,Yes,Collateral only Asset status: Active. Active,0.00%,https://app.euler.finance/lend/0xb7522C867B8AFae5e89638b59fb38f31B0821795?network=1,,
Ethereum,1,Cap,EVK,Active,USDC,Yes,Yes,Borrowable and collateral Asset status: Active. Active,0.00%,https://app.euler.finance/lend/0x6Fe7Fa90756434645F0b0428fDff78E99Dda0FBc?network=1,1.26%,https://app.euler.finance/borrow/0x55F9bACE2C864aC0D3392Ea9fa654b605F21A3d3/0x6Fe7Fa90756434645F0b0428fDff78E99Dda0FBc?network=1&tab=multiply
Ethereum,1,Falcon,EVK,Active,sUSDf,No,Yes,Collateral only Asset status: Active. Active,0.00%,https://app.euler.finance/lend/0x2F849ba554C1ea2eDe9C240Bbe9d247dd6eC8A6B?network=1,,
Ethereum,1,Falcon,EVK,Active,USDC,Yes,Yes,Borrowable and collateral Asset status: Active. Active,0.72%,https://app.euler.finance/lend/0x3573A84Bee11D49A1CbCe2b291538dE7a7dD81c6?network=1,2.58%,https://app.euler.finance/borrow/0x2F849ba554C1ea2eDe9C240Bbe9d247dd6eC8A6B/0x3573A84Bee11D49A1CbCe2b291538dE7a7dD81c6?network=1&tab=multiply
Ethereum,1,Falcon,EVK,Active,USDf,Yes,Yes,Borrowable and collateral Asset status: Active. Active,0.44%,https://app.euler.finance/lend/0x412D0E31790D77b6e7a7872a9fd6967B6E640229?network=1,2.20%,https://app.euler.finance/borrow/0x2F849ba554C1ea2eDe9C240Bbe9d247dd6eC8A6B/0x412D0E31790D77b6e7a7872a9fd6967B6E640229?network=1&tab=multiply
Ethereum,1,Mainnet RWA,EVK,Active; includes legacy/sunset vaults,mAPOLLO,No,Yes,Collateral only Asset status: Active. Active,0.00%,https://app.euler.finance/lend/0x49d9fd20f1d61648Fa9434a8c0C33174F5614eB8?network=1,,
Ethereum,1,Mainnet RWA,EVK,Active; includes legacy/sunset vaults,PAXG,Yes,Yes,Borrowable and collateral Asset status: Active. Active,0.00%,https://app.euler.finance/lend/0x05E09415398659B19C5aeF202289270B37F1Fb31?network=1,0.00%,https://app.euler.finance/borrow/0x2a356443FeE07703266066c6Bb1B11b82d8246AD/0x05E09415398659B19C5aeF202289270B37F1Fb31?network=1&tab=multiply
Ethereum,1,Mainnet RWA,EVK,Active; includes legacy/sunset vaults,reUSD,Yes,Yes,Borrowable and collateral Asset status: Active. Active,1.21%,https://app.euler.finance/lend/0x72a6D005374DB6B7975Fb5768A1802F5c0979474?network=1,3.81%,https://app.euler.finance/borrow/0x2a356443FeE07703266066c6Bb1B11b82d8246AD/0x72a6D005374DB6B7975Fb5768A1802F5c0979474?network=1&tab=multiply
Ethereum,1,Mainnet RWA,EVK,Active; includes legacy/sunset vaults,reUSDe,Yes,Yes,Borrowable and collateral Asset status: Active. Active,0.00%,https://app.euler.finance/lend/0xF81b08Cb4669049049B9C2A38c7D27d480655Bb3?network=1,0.00%,https://app.euler.finance/borrow/0x2a356443FeE07703266066c6Bb1B11b82d8246AD/0xF81b08Cb4669049049B9C2A38c7D27d480655Bb3?network=1&tab=multiply
Ethereum,1,Mainnet RWA,EVK,Active; includes legacy/sunset vaults,sUSDat,No,No,Listed asset; no live borrow/collateral role detected Asset status: Inactive. Inactive to new activity; supply and borrow caps are zero and the vault was removed from the live RWA product,0.00%,https://app.euler.finance/lend/0xd5020aad0CF1aB6F1c020Ba8b14B37e5Fb869F5B?network=1,,
Ethereum,1,Mainnet RWA,EVK,Active; includes legacy/sunset vaults,USDat,No,No,Listed asset; no live borrow/collateral role detected Asset status: Inactive. Inactive to new activity; supply and borrow caps are zero and the vault was removed from the live RWA product,3.15%,https://app.euler.finance/lend/0x7FDb59A3232F435c50B9108361E38674e25da87c?network=1,,
Ethereum,1,Mainnet RWA,EVK,Active; includes legacy/sunset vaults,USDC,Yes,Yes,Borrowable and collateral Asset status: Active. Active,5.81%,https://app.euler.finance/lend/0x2a356443FeE07703266066c6Bb1B11b82d8246AD?network=1,7.08%,https://app.euler.finance/borrow/0x05E09415398659B19C5aeF202289270B37F1Fb31/0x2a356443FeE07703266066c6Bb1B11b82d8246AD?network=1&tab=multiply
Ethereum,1,Mainnet RWA,EVK,Active; includes legacy/sunset vaults,USDS,Yes,Yes,Borrowable and collateral Asset status: Active. Active,1.02%,https://app.euler.finance/lend/0xd4CCf87cBfe6c1f1390706667917b5FD3Ceb43BB?network=1,3.32%,https://app.euler.finance/borrow/0x05E09415398659B19C5aeF202289270B37F1Fb31/0xd4CCf87cBfe6c1f1390706667917b5FD3Ceb43BB?network=1&tab=multiply
Ethereum,1,Mainnet RWA,EVK,Active; includes legacy/sunset vaults,USDT,Yes,Yes,Borrowable and collateral Asset status: Active. Active,0.00%,https://app.euler.finance/lend/0xC11d6b78D8c609A6cbf66E89DBfea06b011B0AEf?network=1,1.26%,https://app.euler.finance/borrow/0x05E09415398659B19C5aeF202289270B37F1Fb31/0xC11d6b78D8c609A6cbf66E89DBfea06b011B0AEf?network=1&tab=multiply
Ethereum,1,Origin ARM,EVK,Active,ARM-WETH-stETH,No,Yes,Collateral only Asset status: Active. Active,0.00%,https://app.euler.finance/lend/0xbD858DCee56Df1F0CBa44e6F5a469FbfeC0246cd?network=1,,
Ethereum,1,Origin ARM,EVK,Active,USDC,No,Yes,Collateral only Asset status: External collateral. External/non-AlphaGrowth collateral vault.,0.00%,https://app.euler.finance/lend/0xb639d1B47215d1Bc6E2d33b299b3F386627c0F2b?network=1,,
Ethereum,1,Origin ARM,EVK,Active,WBTC,No,Yes,Collateral only Asset status: External collateral. External/non-AlphaGrowth collateral vault.,0.00%,https://app.euler.finance/lend/0x915104922E6a55B00B7245d56EE950cd591782C2?network=1,,
Ethereum,1,Origin ARM,EVK,Active,WETH,Yes,No,Borrowable only Asset status: Active. Active,0.00%,https://app.euler.finance/lend/0x2ff5F1Ca35f5100226ac58E1BFE5aac56919443B?network=1,0.50%,https://app.euler.finance/borrow/0xbD858DCee56Df1F0CBa44e6F5a469FbfeC0246cd/0x2ff5F1Ca35f5100226ac58E1BFE5aac56919443B?network=1&tab=multiply
Ethereum,1,Unlabeled AlphaGrowth-governed vault,EVK,Review,USDC,Yes,Yes,"Borrowable and collateral Asset status: Review. Review; operations enabled, near-zero assets, and not in a live Euler product",0.00%,https://app.euler.finance/lend/0xb639d1B47215d1Bc6E2d33b299b3F386627c0F2b?network=1,0.00%,https://app.euler.finance/borrow/0x2ff5F1Ca35f5100226ac58E1BFE5aac56919443B/0xb639d1B47215d1Bc6E2d33b299b3F386627c0F2b?network=1&tab=multiply
Ethereum,1,Unlabeled AlphaGrowth-governed vault,EVK,Review,WBTC,Yes,Yes,"Borrowable and collateral Asset status: Review. Review; operations enabled, zero assets, and not in a live Euler product",0.00%,https://app.euler.finance/lend/0x915104922E6a55B00B7245d56EE950cd591782C2?network=1,0.00%,https://app.euler.finance/borrow/0x2ff5F1Ca35f5100226ac58E1BFE5aac56919443B/0x915104922E6a55B00B7245d56EE950cd591782C2?network=1&tab=multiply
Ethereum,1,Unlabeled AlphaGrowth-governed vault,EVK,Review,WETH,No,Yes,Collateral only Asset status: External collateral. External/non-AlphaGrowth collateral vault.,0.00%,https://app.euler.finance/lend/0x2ff5F1Ca35f5100226ac58E1BFE5aac56919443B?network=1,,
Monad,143,AlphaGrowth Earn AUSD,EulerEarn,Active,AUSD,No,No,Earn deposit asset; not an EVK borrowable/collateral role. Active and owned by the AlphaGrowth multisig,2.78%,https://app.euler.finance/earn/0x6f63732BbBB1780E546C6183C187957B63E1C9d4?network=143,,
Monad,143,AlphaGrowth Earn USDC,EulerEarn,Inactive,Unknown,No,No,"Earn deposit asset; not an EVK borrowable/collateral role. Inactive/incomplete; zero assets and no live asset, owner, or guardian metadata",0.00%,https://app.euler.finance/earn/0x4E1e53C6C40e1022d9eF6b0346a8f97e4fEb5467?network=143,,
Monad,143,AUSD PT,EVK,Active,AUSD,Yes,No,Borrowable only Asset status: Active. Active,2.86%,https://app.euler.finance/lend/0x248C74aA002A571c340a3d894aAF294884A49bE1?network=143,4.46%,https://app.euler.finance/borrow/0xf3E55a17c4c59Cb70EA44973795fA8F3c3BAad72/0x248C74aA002A571c340a3d894aAF294884A49bE1?network=143&tab=multiply
Monad,143,AUSD PT,EVK,Active,PT-AUSD-8OCT2026,No,Yes,Collateral only Asset status: Active. Active,0.00%,https://app.euler.finance/lend/0xf3E55a17c4c59Cb70EA44973795fA8F3c3BAad72?network=143,,
Monad,143,Balancer BPT,EVK,Active,AUSD,Yes,No,Borrowable only Asset status: Active. Active,2.88%,https://app.euler.finance/lend/0x438cedcE647491B1d93a73d491eC19A50194c222?network=143,5.21%,https://app.euler.finance/borrow/0x5795130BFb9232C7500C6E57A96Fdd18bFA60436/0x438cedcE647491B1d93a73d491eC19A50194c222?network=143&tab=multiply
Monad,143,Balancer BPT,EVK,Active,WMON,Yes,No,Borrowable only Asset status: Active. Active,0.13%,https://app.euler.finance/lend/0x75B6C392f778B8BCf9bdB676f8F128b4dD49aC19?network=143,1.49%,https://app.euler.finance/borrow/0x7A81A1613D50ffF334027Aad76F2416368f6050f/0x75B6C392f778B8BCf9bdB676f8F128b4dD49aC19?network=143&tab=multiply
Monad,143,Balancer BPT,EVK,Active,wmooBalancerMonadwnUSDT0-wnAUSD-wnUSDC,No,Yes,Collateral only Asset status: Active. Active,0.00%,https://app.euler.finance/lend/0xf18f3BC9440ad7940E6E2a86fD0C724AdD2dd0Aa?network=143,,
Monad,143,Balancer BPT,EVK,Active,wnAUSD-wnUSDC-wnUSDT0,No,Yes,Collateral only Asset status: Active. Active,0.00%,https://app.euler.finance/lend/0x5795130BFb9232C7500C6E57A96Fdd18bFA60436?network=143,,
Monad,143,Balancer BPT,EVK,Active,wnLOAZND-AZND-wnAUSD,No,No,Listed asset; no live borrow/collateral role detected Asset status: Active. Active replacement,0.00%,https://app.euler.finance/lend/0x2067936155c7DB57b1cdCF776B04B9678c245626?network=143,,
Monad,143,Balancer BPT,EVK,Active,wnSHMON-wnWMON,No,Yes,Collateral only Asset status: Active. Active replacement,0.00%,https://app.euler.finance/lend/0x7A81A1613D50ffF334027Aad76F2416368f6050f?network=143,,
Monad,143,Balancer BPT,EVK,Active,wnSMON-wnWMON,No,Yes,Collateral only Asset status: Active. Active replacement,0.00%,https://app.euler.finance/lend/0x7ad9f09B431A4C5F4CbA809d449Fde842192f9ec?network=143,,
Monad,143,earnAUSD PT,EVK,Active,AUSD,Yes,No,Borrowable only Asset status: Active. Active,6.02%,https://app.euler.finance/lend/0x7cc566d100E81a9708fd23B18F6B92D3249430C9?network=143,7.50%,https://app.euler.finance/borrow/0xC4fAbE0B5A280163aB47E3162689A278C81df3f9/0x7cc566d100E81a9708fd23B18F6B92D3249430C9?network=143&tab=multiply
Monad,143,earnAUSD PT,EVK,Active,PT-earnAUSD-8OCT2026,No,Yes,Collateral only Asset status: Active. Active,0.00%,https://app.euler.finance/lend/0xC4fAbE0B5A280163aB47E3162689A278C81df3f9?network=143,,
Unichain,130,AlphaGrowth Earn USDC,EulerEarn,Pending,USDC,No,No,"Earn deposit asset; not an EVK borrowable/collateral role. Pending ownership transfer; live owner is 0x36639EA17c35A4639eaE371391497Cb3D02d120a, zero assets at snapshot",0.00%,https://app.euler.finance/earn/0xd325A54926C937710daa1b46d1c6587155084a63?network=130,,
Unichain,130,Unichain Market,EVK,Active,ezETH,No,No,Listed asset; no live borrow/collateral role detected Asset status: Active. Active,0.00%,https://app.euler.finance/lend/0x45b41B20B11cD2e71A6BF3021bdbc3F8aFEa5538?network=130,,
Unichain,130,Unichain Market,EVK,Active,rsETH,No,No,Listed asset; no live borrow/collateral role detected Asset status: Active. Active,0.00%,https://app.euler.finance/lend/0x59215f65cB2F5Ddf048eFA8136Fc2C19F9A6C416?network=130,,
Unichain,130,Unichain Market,EVK,Active,sUSDC,Yes,Yes,Borrowable and collateral Asset status: Active. Active,9.55%,https://app.euler.finance/lend/0x7650D7ae1981f2189d352b0EC743b9099D24086F?network=130,12.33%,https://app.euler.finance/borrow/0x1f3134C3f3f8AdD904B9635acBeFC0eA0D0E1ffC/0x7650D7ae1981f2189d352b0EC743b9099D24086F?network=130&tab=multiply
Unichain,130,Unichain Market,EVK,Active,UNI,No,No,Listed asset; no live borrow/collateral role detected Asset status: Active. Active,0.00%,https://app.euler.finance/lend/0x576f68B0395738AEF01811b8F8EeC25302829F1d?network=130,,
Unichain,130,Unichain Market,EVK,Active,USD₮0,Yes,Yes,Borrowable and collateral Asset status: Active. Active,13.11%,https://app.euler.finance/lend/0xD49181c522eCDB265f0D9C175Cf26FFACE64eAD3?network=130,15.62%,https://app.euler.finance/borrow/0x1f3134C3f3f8AdD904B9635acBeFC0eA0D0E1ffC/0xD49181c522eCDB265f0D9C175Cf26FFACE64eAD3?network=130&tab=multiply
Unichain,130,Unichain Market,EVK,Active,USDC,Yes,Yes,Borrowable and collateral Asset status: Active. Active,13.80%,https://app.euler.finance/lend/0x6eAe95ee783e4D862867C4e0E4c3f4B95AA682Ba?network=130,16.41%,https://app.euler.finance/borrow/0x1f3134C3f3f8AdD904B9635acBeFC0eA0D0E1ffC/0x6eAe95ee783e4D862867C4e0E4c3f4B95AA682Ba?network=130&tab=multiply
Unichain,130,Unichain Market,EVK,Active,WBTC,Yes,Yes,Borrowable and collateral Asset status: Active. Active,0.76%,https://app.euler.finance/lend/0x5d2511C1EBc795F4394f7f659f693f8C15796485?network=130,0.97%,https://app.euler.finance/borrow/0x1f3134C3f3f8AdD904B9635acBeFC0eA0D0E1ffC/0x5d2511C1EBc795F4394f7f659f693f8C15796485?network=130&tab=multiply
Unichain,130,Unichain Market,EVK,Active,weETH,Yes,Yes,Borrowable and collateral Asset status: Active. Active,0.00%,https://app.euler.finance/lend/0xe36DA4Ea4D07E54B1029eF26A896A656A3729f86?network=130,0.02%,https://app.euler.finance/borrow/0x1f3134C3f3f8AdD904B9635acBeFC0eA0D0E1ffC/0xe36DA4Ea4D07E54B1029eF26A896A656A3729f86?network=130&tab=multiply
Unichain,130,Unichain Market,EVK,Active,WETH,Yes,Yes,Borrowable and collateral Asset status: Active. Active,0.89%,https://app.euler.finance/lend/0x1f3134C3f3f8AdD904B9635acBeFC0eA0D0E1ffC?network=130,1.48%,https://app.euler.finance/borrow/0x54ff502df96CD9B9585094EaCd86AAfCe902d06A/0x1f3134C3f3f8AdD904B9635acBeFC0eA0D0E1ffC?network=130&tab=multiply
Unichain,130,Unichain Market,EVK,Active,wstETH,Yes,Yes,Borrowable and collateral Asset status: Active. Active,0.00%,https://app.euler.finance/lend/0x54ff502df96CD9B9585094EaCd86AAfCe902d06A?network=130,0.03%,https://app.euler.finance/borrow/0x1f3134C3f3f8AdD904B9635acBeFC0eA0D0E1ffC/0x54ff502df96CD9B9585094EaCd86AAfCe902d06A?network=130&tab=multiply
Unichain,130,Unichain Vaults,EVK,Active; includes legacy/sunset vaults,rETH,Yes,Yes,Borrowable and collateral Asset status: Active; includes legacy/sunset vaults. Inactive; all core EVK operations disabled; Active replacement,0.00%,https://app.euler.finance/lend/0x218c9e961fC5f6c8280bA160365FAbe8A53Ec6E5?network=130,0.07%,https://app.euler.finance/borrow/0x5ADAde21c703912547BFc8952fe1B52f09437E2A/0x218c9e961fC5f6c8280bA160365FAbe8A53Ec6E5?network=130&tab=multiply
Unichain,130,Unichain Vaults,EVK,Active; includes legacy/sunset vaults,WETH,Yes,Yes,Borrowable and collateral Asset status: Active; includes legacy/sunset vaults. Inactive; all core EVK operations disabled; Active replacement,0.40%,https://app.euler.finance/lend/0x5ADAde21c703912547BFc8952fe1B52f09437E2A?network=130,1.21%,https://app.euler.finance/borrow/0x218c9e961fC5f6c8280bA160365FAbe8A53Ec6E5/0x5ADAde21c703912547BFc8952fe1B52f09437E2A?network=130&tab=multiply
Arbitrum,42161,Arbitrum Vaults,EVK,Deprecated,reUSD,No,No,Listed asset; no live borrow/collateral role detected Asset status: Deprecated. Deprecated due to low activity,0.00%,https://app.euler.finance/lend/0x8Ca487811a5e7599A5c68F49Ac1fE348371e4c46?network=42161,,
Arbitrum,42161,Arbitrum Vaults,EVK,Deprecated,USDC,No,No,Listed asset; no live borrow/collateral role detected Asset status: Deprecated. Deprecated due to low activity,0.00%,https://app.euler.finance/lend/0x06b763aA769ad01F6859a56c5a856E47896e6a7F?network=42161,,
Arbitrum,42161,Arbitrum Vaults,EVK,Deprecated,USND,No,No,Listed asset; no live borrow/collateral role detected Asset status: Deprecated. Deprecated due to low activity,0.00%,https://app.euler.finance/lend/0x4aD21eBbB639c21ccd9F1eaF388Cd91D015E02ee?network=42161,,
Arbitrum,42161,Arbitrum Vaults,EVK,Deprecated,yUSND,No,No,Listed asset; no live borrow/collateral role detected Asset status: Deprecated. Deprecated due to low activity,0.00%,https://app.euler.finance/lend/0x124BeC4d119bc4B5d250f0b0114f2087f8EeDB57?network=42161,,
Linea,59144,Linea weETH,EVK,Active,weETH,Yes,Yes,Borrowable and collateral Asset status: Active. Active,0.00%,https://app.euler.finance/lend/0x8955d7dCdE9bD9694B64732aD28fF2113eb217B4?network=59144,0.07%,https://app.euler.finance/borrow/0xF4712fC5E6483DE9e1Ff661D95DD686664327086/0x8955d7dCdE9bD9694B64732aD28fF2113eb217B4?network=59144&tab=multiply
Linea,59144,Linea weETH,EVK,Active,WETH,Yes,Yes,Borrowable and collateral Asset status: Active. Active,0.69%,https://app.euler.finance/lend/0xF4712fC5E6483DE9e1Ff661D95DD686664327086?network=59144,1.51%,https://app.euler.finance/borrow/0x8955d7dCdE9bD9694B64732aD28fF2113eb217B4/0xF4712fC5E6483DE9e1Ff661D95DD686664327086?network=59144&tab=multiply
